song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Destinations,Sub:liminal,7CARHiVy4OUyQQC37UyMWv,0.473,0.953,-5.309,0.0377,7.66e-05,0.843,0.357,0.0728,174.026,355623
Acero,Cream Blade,42t10cOdyTaykwkrDFDeTG,0.404,0.946,-5.566,0.0514,0.00163,0.723,0.0809,0.307,173.996,270662
Upside Down,Genetics,5lr5XrCp7CFOdIix2gRTnZ,0.484,0.796,-5.376,0.0346,0.00648,0.616,0.101,0.0345,174.992,313741
Stardust (feat. Miyoki) - Rex Hooligan Remix,T & Sugah,3Uv4IP8qRWDBYOP6Po7HjB,0.286,0.726,-4.264,0.0378,0.00325,0.000529,0.302,0.239,173.989,256509
IO,Vandera,4nbUtD4gOLxs2xEzpHRspl,0.657,0.893,-6.013,0.0457,0.0064,0.916,0.601,0.407,172.015,241510
Forever,KNGHT,3v0nAwAtyq2KXPORUD9Go4,0.168,0.814,-6.293,0.0402,0.00026,0.336,0.119,0.032,86.867,246881
Lost King,Humanature,1VDYgl6psBmUSsiHPkLfK4,0.622,0.692,-5.498,0.058,0.014,0.682,0.0766,0.222,87.482,266418
Astrophysical - Lexurus Remix,NCT,3rBwl5nImSOiGIMwz4EG0M,0.423,0.883,-2.992,0.0334,0.000652,0.00469,0.069,0.194,173.997,260107
Deep End - Hybrid Minds Remix,Birdy,45vPjSJ5NyIfBWIjilEhcy,0.313,0.8,-2.105,0.0463,0.106,3.33e-05,0.0973,0.132,87.997,212093
4eva,Humanature,5pvEr95zt60ZwNRzBJXxj9,0.546,0.797,-4.786,0.038,0.000282,0.401,0.103,0.0771,87.491,285495
Here To Stay,Audioscribe,0j1IIDokqNoTUgK6H84Y06,0.464,0.876,-4.659,0.033,0.000701,0.676,0.0691,0.0725,173.972,217931
Want U There - Logistics Remix,salute,7xzfAzZ2jOf7XNOt85D4py,0.5,0.944,-3.933,0.0586,0.00144,0.119,0.371,0.157,174.052,250101
The Feeling - Jon Void Remix,Jon Void,1USMmvi5FlcfUh4UKtAsRg,0.522,0.912,-0.799,0.0386,0.00135,0.232,0.0879,0.313,174.018,250774
All The Time,Humanature,32ZHRwVWTeZRaqHSX91rld,0.498,0.752,-4.459,0.0485,0.000671,0.748,0.741,0.0873,175.03,296537
Before I Go - Blooom Remix,NCT,250euDUWOcW2g5MFtTfhaD,0.61,0.813,-3.456,0.0726,0.0149,0.00247,0.752,0.63,173.928,215414
Surround Me,Matt View,3xZGsMSoGlzfMAErdDvrqK,0.489,0.952,-5.606,0.0456,0.0105,0.0923,0.083,0.0352,174.936,294511
Afterlife - L.A.O.S Remix,NCT,1gjELEcRo7NpHYZ9zGaqG3,0.587,0.883,-5.383,0.0945,0.0596,0.0006,0.108,0.168,173.995,252755
Sonder,Rameses B,6uuRoFOoxHlRIdc9MBdDrg,0.578,0.571,-6.908,0.0447,0.237,0.925,0.0685,0.0397,87.011,274478
Come With Me,Telomic,518SM2p7vNE1Ue9INZmxxJ,0.501,0.803,-4.813,0.0398,0.00635,0.398,0.0774,0.113,174.017,292614
New Horizon - Solomon France Remix,NCT,1VyWPN9ztnPBR9cetWezDq,0.422,0.934,-2.284,0.0476,8.24e-05,0.0346,0.0887,0.202,172.039,209043
Good Time,Fox Stevenson,38WN6ouLGke6SIpVriIb9K,0.484,0.943,-0.821,0.142,0.00177,0.000255,0.137,0.58,174.042,203534
Recurring Image,Matt View,4xA1yAGloKdpfKUaNTUSU6,0.585,0.885,-3.38,0.0462,0.00234,0.931,0.124,0.481,174.046,280276
Haunted Hearts,Rameses B,75UvpA325rHwEA6wDzVgNU,0.533,0.897,-4.502,0.0697,0.00105,0.342,0.533,0.328,174.002,209970
Electrify - Jack Mirror Remix,NCT,6R1Wlmw0ufFnTMHIQUvJ9i,0.541,0.968,-2.717,0.055,0.0456,0.0239,0.0858,0.153,174.005,248276
Trying Not To Love You,Artino,0tYrfhGMpWs0XCssZ0WRcp,0.383,0.919,-3.085,0.0479,0.000624,0.00398,0.0986,0.069,173.993,255447
Rewrite,Blooom,0To3xIugNcRvVEkgJ2mRKB,0.591,0.863,-5.034,0.0678,0.0023,0.00485,0.304,0.735,174.03,232046
Undone,Telomic,16XeKE4bYj8xzceZ0odXDb,0.684,0.711,-6.105,0.051,0.000659,0.896,0.114,0.0868,172.191,256944
When You Dream,Rameses B,0nFiveJMcyU5IvZmrSTKfR,0.303,0.959,-4.617,0.0976,0.00931,0.831,0.098,0.181,173.994,250834
Secret Satellite,Logistics,3SQMOuGkeaej1ec5vB2PLi,0.411,0.818,-6.223,0.0426,0.00203,0.744,0.205,0.0315,174.026,202325
Heartbreak,Blooom,40JHQWLKXV31wgzAktVtKZ,0.534,0.836,-4.768,0.0514,0.00261,0.00267,0.0975,0.291,173.95,207586
Ups and Downs,Telomic,1joSUEzzSEJ8d8OyDRxBVM,0.491,0.856,-4.866,0.0438,0.000681,0.397,0.11,0.0669,174.026,297762
Your Love,Blooom,4bFSwJe8mnauJvUWY0kkuD,0.625,0.783,-3.174,0.0646,0.00643,0.272,0.203,0.458,172.097,230560
Tricks,Polygon,1gw3ITBEn4tGNDoSCmr8Rs,0.403,0.956,-3.572,0.0455,0.00266,0.189,0.321,0.105,174.017,264628
Tomorrow,Andromedik,45t6vbzyrQlsFI3xnzevjM,0.427,0.973,-2.385,0.0805,0.00018,0.00242,0.11,0.366,173.981,220390
Only You,Aperio,14wbsRn4dzYtLE4QVhI0qB,0.297,0.814,-5.381,0.0782,0.000356,0.268,0.139,0.0644,174.056,274762
Pieces,Telomic,4ppgJlsbKqhvYpCwcFqq6Y,0.707,0.74,-6.031,0.138,0.00847,0.608,0.11,0.37,174.042,272310
Love Yourself,Aperio,6Wya9mUyfUbiG4lcHw0Byc,0.408,0.752,-4.947,0.031,0.000568,0.872,0.109,0.296,174.054,274174
Against The Grain,Rameses B,5Wt6kUP0OX2IUx1XW12UlN,0.575,0.812,-4.677,0.0616,0.115,0.00292,0.198,0.105,173.99,238086
Intercept (Hiraeth Remix),Hiraeth,43Gxv1C1Ct8565QXHgfWK4,0.482,0.755,-5.597,0.0503,0.0115,0.744,0.11,0.0349,173.974,276062
All The Way,Polygon,0ucdnfv1uvBcvmlFZbP94y,0.457,0.942,-3.605,0.0508,0.00756,0.000889,0.0957,0.141,173.951,283579
Running,Andromedik,0UVMGMcNVdA0SuPm47xaHT,0.387,0.925,-3.235,0.04,0.0854,0.00963,0.159,0.0523,173.924,184135
No More Us,METHOD,62CU12eNCRzLTgqgVK7z0H,0.439,0.942,-3.093,0.0392,0.000272,0.755,0.0647,0.232,173.976,276203
Now That It's True,Nelver,1mkMcLOA7YTd6SAKgL9A7N,0.432,0.956,-3.388,0.0503,0.00271,0.943,0.0793,0.186,175.012,341684
Be There - Kove Remix,Kove,2fMpcwNkVa1bj6wxADpwAa,0.515,0.948,-2.72,0.04,2.34e-05,0.113,0.044,0.474,174.018,273103
Be There,Matt View,0Gh0zC1iXujb6mjh2B7ASs,0.549,0.783,-5.335,0.0457,0.0016,0.875,0.0952,0.0599,175.026,266792
The Girl Next Door,Nymfo,751ptOiHpJFPpNmrrkIbUK,0.691,0.659,-5.735,0.0673,0.0391,0.761,0.117,0.755,85.007,274899
Come Clean,Matt View,3DI0DCgSU2hBHYEpNmqLv8,0.311,0.826,-5.56,0.0463,0.00132,0.83,0.106,0.104,87.526,293871
