song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Champagne,311,4cSSUpptr7r125fK5nRJhP,0.66,0.622,-8.605,0.0646,0.358,2.47e-06,0.0998,0.629,174.15,184973
Wake Your Mind Up,311,5m2KEaQbDf3OQRiuGG9YtJ,0.711,0.893,-5.279,0.0664,0.00172,0.0,0.0658,0.577,111.953,190373
Amber,311,6Fe3Flc9SjE03pqwD6PVQl,0.663,0.697,-9.442,0.0473,0.156,0.0224,0.0663,0.744,166.001,206973
I'll Be Here Awhile,311,1mHZhWJu6RVJhyu3USZdI5,0.638,0.867,-6.815,0.0312,0.000933,2.29e-05,0.103,0.896,142.045,209693
You Wouldn't Believe,311,3BKVw29hyMoEYMI2HH7nAx,0.493,0.907,-5.334,0.0593,0.00237,6.68e-06,0.134,0.562,167.487,222307
Sick Tight,311,7065M7GFGUGrfIs9fKICAM,0.632,0.94,-6.383,0.0579,0.000476,0.0,0.0864,0.582,113.015,164560
Uncalm,311,0KZ0qu6kEhVruGG0eXOK9v,0.562,0.843,-6.874,0.0358,0.00251,2.48e-06,0.094,0.559,170.086,191200
From Chaos,311,56ptJVbW8NdiuY0nSy0sPE,0.487,0.881,-5.704,0.109,0.00805,0.0,0.117,0.642,178.107,195333
Gap,311,3iJGDkpmZuJv8diAUm6e4X,0.848,0.775,-6.753,0.0518,0.0295,5.29e-06,0.225,0.598,108.385,129467
I'm Lost Without You,blink-182,7D2v3ZuXQsfD20qvCvMNxW,0.395,0.659,-7.888,0.0351,0.148,0.0302,0.606,0.368,85.445,380547
All Of This,blink-182,5kYhmkcnDalqUMxQxBcZkB,0.689,0.579,-7.294,0.0315,0.00573,0.0276,0.089,0.671,117.641,280017
Down,blink-182,4nXKO951m6TdWQQbH1KJH3,0.535,0.875,-8.316,0.0398,0.068,0.00441,0.102,0.345,93.983,183845
Obvious,blink-182,1KcmugpUozu6Llj3p5Qboa,0.317,0.963,-6.172,0.08,0.000168,0.0,0.19,0.46,170.346,163508
Violence,blink-182,6oRvk7PJW3PDKFZkEvJNkq,0.633,0.748,-7.775,0.0594,0.00114,3.57e-05,0.44,0.431,119.215,219540
Stockholm Syndrome,blink-182,5TxY7O9lFJJrd22FmboAXe,0.401,0.981,-4.926,0.0876,0.00842,3.23e-05,0.106,0.484,173.182,161136
I Miss You,blink-182,1AdYZ6X00nXmO613Y7GJOl,0.423,0.714,-8.295,0.045,0.00113,6.28e-06,0.0855,0.593,110.017,227250
Go,blink-182,078zIWNN5odARjeoMlg05A,0.4,0.966,-5.478,0.0407,0.00199,0.0,0.103,0.756,182.163,113216
Asthenia,blink-182,153bsdXSG7KD3Q8ShRNpNK,0.403,0.881,-7.224,0.108,0.158,9.86e-06,0.107,0.287,174.835,259754
Feeling This,blink-182,26AYR77170U49cMcXB7aRV,0.411,0.962,-5.952,0.0917,0.103,0.0,0.529,0.622,173.143,172646
Always,blink-182,3HM4NePuYAqdXpAGBk7nNz,0.463,0.925,-5.74,0.0747,0.0106,0.027,0.189,0.59,158.337,251867
Here's Your Letter,blink-182,1Xccd7M3iAT1sUu68pOZU0,0.408,0.933,-5.256,0.057,0.0126,1.62e-05,0.12,0.668,176.178,174659
Easy Target,blink-182,0fsrRvpqr904AdKAPDXFkq,0.505,0.98,-5.036,0.0979,0.01,0.0258,0.236,0.395,159.802,140563
She's Out Of Her Mind,blink-182,6EE19skJ32p58xihYj2Waa,0.447,0.967,-2.706,0.0793,0.00448,0.0,0.487,0.606,179.991,162720
