song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
The Fall,Lovejoy,0.589,0.389,-5.972,0.028,0.851,0.0,0.0772,0.501,89.1,3B5UbSndRz907IZhhmUfLi,197470.0,11
It's All Futile! It's All Pointless!,Lovejoy,0.371,0.576,-10.882,0.04,0.66,0.854,0.18,0.125,97.5,779bC1I6BAwAr9UsAGbpNZ,183497.0,7
Saline Solution,Wilbur Soot,0.808,0.97,-6.098,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,2gam98EZKrF9XuOkU13ApN,242293.0,16
Jubilee Line,Wilbur Soot,0.586,0.848,-3.637,0.0647,0.000428,1.21e-06,0.146,0.334,104.985,4Yg3nF8svtZsmNw9iUOtBM,173896.0,15
Your Sister Was Right,Wilbur Soot,0.556,0.924,-4.048,0.0701,0.00225,6.98e-05,0.11,0.49,131.014,5NLi9YVXt9pMAXS068FY9o,229008.0,15
Losing Face,Wilbur Soot,0.697,0.813,-8.89,0.0315,0.0989,0.0232,0.583,0.85,95.301,7kv7zBjMtVf0eIJle2VZxn,180027.0,0
La Jolla,Wilbur Soot,0.761,0.821,-2.407,0.0695,0.0941,5.73e-06,0.0594,0.519,98.082,051VzpEn17dLinnypLAUNG,254773.0,16
Since I Saw Vienna,Wilbur Soot,0.857,0.117,-13.031,0.119,0.578,0.92,0.12,0.114,160.001,7HWaB2AEfyhAUEPkW9G4ni,114000.0,14
I'm Sorry Boris,Wilbur Soot,0.675,0.697,-7.635,0.0386,0.425,9.67e-06,0.102,0.492,100.089,2B6jvxKqMWvdQyOrdJVQ9p,205040.0,11
Internet Ruined Me,Wilbur Soot,0.875,0.745,-10.156,0.0466,0.208,0.449,0.0749,0.365,117.995,031AIGrfnhZYJxegTuYw9W,448006.0,6
I'm in Love With an E-Girl,Wilbur Soot,0.464,0.707,-8.732,0.127,0.197,0.000315,0.195,0.185,158.133,0ycK3F9B6k06wokwh69rBq,100914.0,17
Syndicate,Derivakat,0.838,0.305,-15.187,0.4,0.000315,0.909,0.107,0.27,153.905,59qDYPtVKQhjQFNzzqIWnP,67587.0,14
Turn Back Time,Derivakat,0.475,0.432,-7.844,0.0302,0.183,0.0,0.161,0.648,94.605,028mxAauDksobrL61eJaBW,153467.0,11
REVIVED,Derivakat,0.604,0.179,-15.383,0.0339,0.835,0.0,0.162,0.391,124.982,5YlHgqWo3Kt2mF88ubmR62,220520.0,13
Ain't No Crying,Derivakat,0.838,0.53,-12.1,0.0653,0.345,0.904,0.088,0.916,125.034,6ZEenbPqCbKxPmu49taU8u,145920.0,9
In My Head,Derivakat,0.606,0.671,-11.889,0.064,0.138,0.000247,0.0954,0.182,146.767,6ZhVOKm0TcrtXg7ItVjyJd,63273.0,1
Blue,Derivakat,0.553,0.586,-6.319,0.0362,0.697,0.0,0.0813,0.443,126.684,3EPXxR3ImUwfayaurPi3cm,196373.0,1
4AM,Derivakat,0.435,0.92,-1.357,0.201,0.235,0.000353,0.552,0.45,188.899,7nXq1vaZiz7PdbfojpPjW5,245960.0,4
Welcome Home,Derivakat,0.325,0.91,-4.878,0.169,0.000573,0.106,0.064,0.142,132.094,4Dsxp3FZYCLUxYjQpQo1BP,242867.0,17
Kiss Your Dreams Goodbye,Derivakat,0.637,0.69,-4.057,0.0405,0.00786,0.0,0.124,0.457,129.857,7a53HqqArd4b9NF4XAmlbI,162399.0,6
FIREBORN,Derivakat,0.612,0.741,-5.282,0.0568,0.000891,0.652,0.184,0.0576,172.012,1GEbJrTYY4XnTdJxmGENhK,318953.0,7
Captain's Call,Derivakat,0.802,0.886,-7.676,0.0393,3e-05,0.902,0.0986,0.0774,120.018,126B1mu0tb4gEqyjufUjms,512697.0,7
HONEY,Derivakat,0.223,0.984,-6.422,0.103,0.000107,0.279,0.052,0.149,98.315,08VoJVzyWl1QlZdlEcvkj8,260507.0,15
Take Aim,Derivakat,0.518,0.907,-3.732,0.0343,0.00221,1.15e-05,0.0838,0.961,140.982,4GhtDORJiSRYxj6M1bv0vX,179013.0,3
Casino Royale,Derivakat,0.688,0.406,-8.485,0.0428,0.767,2.81e-06,0.126,0.281,121.885,0gGwIl6b1PRp2bE9wCbWa3,187200.0,1
L'manberg National Anthem,Quite Genetic,0.688,0.489,-7.627,0.173,0.619,0.0,0.153,0.559,85.404,2wUwC1gBJIC05JH87v2hgN,210120.0,11
E-GIRLS ARE RUINING MY LIFE!,CORPSE,0.586,0.426,-8.673,0.0362,0.842,0.815,0.0898,0.793,150.968,5ir0VEsMI7cLhN6SEiaKol,119450.0,9
Brother,Kodaline,0.477,0.432,-12.262,0.0297,0.0918,0.000147,0.171,0.555,119.11,6wBSlVhCtpvm9lxs4s1VID,238893.0,1
Toxic,BoyWithUke,0.313,0.286,-10.593,0.0324,0.934,0.0451,0.0974,0.287,80.925,429E2JSZouAhc8aE7HZRPA,208504.0,5
Castaways,Annapantsu,0.57,0.903,-4.835,0.0905,0.0748,0.0,0.199,0.603,93.943,760IJcunfpbkm6sHbMmyyj,175273.0,15
Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom,Dan Bull,0.516,0.905,-5.613,0.0399,0.000479,0.0,0.198,0.612,129.999,0eI19vR5WZ12fuYcEFUVkw,258453.0,3
"Tag, You're It",Melanie Martinez,0.842,0.912,-7.927,0.446,0.137,0.0,0.365,0.528,98.041,0wcWvS93BccuPs82d4Cf8b,108382.0,0
Broken,Lund,0.641,0.559,-11.132,0.0355,0.404,0.00402,0.0937,0.523,144.982,0Oqc0kKFsQ6MhFOLBNZIGX,202193.0,10
The Wellerman,Caleb Hyles,0.652,0.802,-6.114,0.181,0.0871,6.45e-06,0.148,0.295,170.157,0TvQLMecTE8utzoNmvXRbK,211933.0,17
Partners in Crime (feat. Ash Costello),Set It Off,0.534,0.803,-5.323,0.0607,0.12,8.15e-05,0.108,0.428,120.983,61VAGE9lhRjwEgPgojHhjW,267907.0,15
Greedy,Or3o,0.655,0.66,-12.645,0.0525,0.325,0.705,0.12,0.159,119.961,38OEW7jDGZbK4MjrgsfaQT,347440.0,7
Happy Face,Jagwar Twin,0.478,0.965,-5.022,0.0642,0.000169,0.00251,0.0854,0.347,125.152,0SLtqCrXBRrnkxSOMA3X4W,262000.0,15
BLAME IT ON THE KIDS,AViVA,0.441,0.753,-4.074,0.044,0.0701,0.0,0.027,0.254,135.015,6BDLcvvtyJD2vnXRDi1IjQ,259556.0,17
"Soldier, Poet, King",Jacob Cook,0.492,0.567,-6.159,0.0327,0.000114,0.536,0.358,0.245,111.01,6T0dHDN1lPn5jamdHlWypt,323373.0,7
an ode to l'manburg,Beetlebug,0.846,0.828,-5.447,0.165,0.51,1.28e-06,0.0906,0.908,97.453,0shAFLY8DIPuKbiFS8RqQP,219640.0,16
Arcade - Slowed,Cozy Soundz,0.802,0.424,-11.366,0.0627,0.603,7.73e-06,0.108,0.476,140.069,1EuVCg1G7fVjuhKurU7m2b,137200.0,10
Ghost,Confetti,0.323,0.694,-10.274,0.0375,0.0182,0.0165,0.974,0.298,91.077,1jEqkoGkQccia1esg9b7lq,372880.0,8
Wellerman - Sea Shanty,Nathan Evans,0.292,0.324,-11.996,0.0346,0.797,0.000473,0.12,0.384,176.631,5RgFlk1fcClZd0Y4SGYhqH,201373.0,18
